,Unnamed: 0,ID,kingdom,class,family,acceptedNameUsage,infraspecificEpithet,vernacularName,establishmentMeans,CATEGORÍA.DE.CONSERVACIÓN,basisOfRecord,institution,recordedBy,year,month,day,locality,locationRemarks,county,stateProvince,municipality,PRECISIÓN.DATO,verbatimLatitude,verbatimLongitude,verbatimElevation,verbatimCoordinateSystem,verbatimSRS,HUSO,occurrenceRemarks,datasetName,dynamicProperties,geodeticDatum,verbatimCoordinates,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
0,1,1,Plantae,Magnoliopsida,Solanaceae,Fabiana ramulosa (Wedd.) Hunz. & Barboza,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:11.858Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
1,2,2,Plantae,Magnoliopsida,Asteraceae,Baccharis boliviensis (Wedd.) Cabrera var. boliviensis,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:12.315Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
2,3,3,Plantae,Magnoliopsida,Asteraceae,Baccharis tola Phil. ssp. tola,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:12.769Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
3,4,4,Plantae,Magnoliopsida,Plantaginaceae,Plantago sp.,,,,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:13.178Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
4,5,5,Plantae,Magnoliopsida,Brassicaceae,Descurainia sp.,,,,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:13.594Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
5,6,6,Plantae,Magnoliopsida,Asteraceae,Tagetes multiflora Kunth,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:14.000Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
6,7,7,Plantae,Magnoliopsida,Asteraceae,Gnaphalium lacteum Meyen & Walp.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:14.405Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
7,8,8,Plantae,Magnoliopsida,Asteraceae,Conyza deserticola Phil.,,,Autóctona,Sin clasificación,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:14.807Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
8,9,9,Plantae,Magnoliopsida,Cactaceae,Maihueniopsis boliviana (Salm-Dyck) R. Kiesling ssp. echinacea (F. Ritter) Faúndez & R. Kiesling,,,Autóctona,LC,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:15.217Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
9,10,10,Plantae,Magnoliopsida,Cactaceae,Oreocereus variicolor Backeb.,,,Autóctona,LC,Observación,,Luis Faundez-Rodrigo Flores- Aira Faundez,2012.0,12.0,23.0,Cerro Churicoyo, ,Arica,de Arica y Parinacota,Camarones,GPS,-19.106479,-69.281233,4009,decimal degrees,(WGS84) World Geodetic System 1984,19 Sur,,Estudio de la biodiversidad de Arica y Parinacota,"{'textFieldMeasurementError': 10, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",(WGS84) World Geodetic System 1984,"-19.106479, -69.281233",-19.106479,-69.281233,10,0.0000001,2022-11-23T05:39:15.624Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
