,Unnamed: 0,decimalLongitude,decimalLatitude,verbatimSRS,geodeticDatum,continent,country,countryCode,stateProvince,county,municipality,verbatimCoordinates,verbatimCoordinateSystem,dynamicProperties,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
0,1,-37.985806,-73.27009,unknown,datum not recorded,,,,,,,-73.27009 -37.985806,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3526,0.0000001,2022-11-29T08:44:33.056Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
1,2,-37.962703,-73.250557,unknown,datum not recorded,,,,,,,-73.250557 -37.962703,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:33.540Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
2,3,-37.945865,-73.253354,unknown,datum not recorded,,,,,,,-73.253354 -37.945865,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:33.947Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
3,4,-37.924944,-73.225018,unknown,datum not recorded,,,,,,,-73.225018 -37.924944,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:34.379Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
4,5,-37.925137,-73.348402,unknown,datum not recorded,,,,,,,-73.348402 -37.925137,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:34.867Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
5,6,-37.897728,-73.311393,unknown,datum not recorded,,,,,,,-73.311393 -37.897728,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:35.301Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
6,7,-37.889821,-73.355158,unknown,datum not recorded,,,,,,,-73.355158 -37.889821,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:35.720Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
7,8,-38.02912,-73.229198,unknown,datum not recorded,,,,,,,-73.229198 -38.02912,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:36.152Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
8,9,-37.585597,-73.145289,unknown,datum not recorded,,,,,,,-73.145289 -37.585597,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:36.600Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
9,10,-37.977215,-73.259205,unknown,datum not recorded,,,,,,,-73.259205 -37.977215,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:37.065Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
