,Unnamed: 0,decimalLongitude,decimalLatitude,verbatimSRS,geodeticDatum,continent,country,countryCode,stateProvince,county,municipality,verbatimCoordinates,verbatimCoordinateSystem,dynamicProperties,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
0,1,-69.9483181,-18.5779279,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5779278742557 -69.9483181252926,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:53.582Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
1,2,-69.9568048,-18.58056,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5805599790403 -69.9568048093905,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:54.007Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
2,3,-70.0947594,-18.5591423,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5591423184334 -70.0947594344281,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:54.439Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
3,4,-70.1035408,-18.5661941,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5661940700123 -70.103540835605,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:54.856Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
4,5,-70.0616224,-18.5756161,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5756160517422 -70.0616224468121,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:55.274Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
5,6,-70.1023063,-18.5613395,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5613395078929 -70.102306265943,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:55.702Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
6,7,-70.1202036,-18.5524233,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5524233036766 -70.1202036133592,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:56.159Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
7,8,-70.0470144,-18.5763032,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5763031931299 -70.047014430082,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:56.597Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
8,9,-70.0808122,-18.5666962,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5666961569994 -70.0808122073013,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:57.036Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
9,10,-70.0596333,-18.5788172,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5788172487892 -70.0596332880943,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:57.490Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
