"","...1","kingdom","class","family","scientificName","establishmentMeans","organismQuantity","basisOfRecord","Fuente del dato","institutionCode","recordedBy","year","month","day","Nombre de la Localidad","locationRemarks","locality","municipality","county","stateProvince","verbatimLatitude","verbatimLongitude","verbatimElevation","eventRemarks","occurrenceStatus","Estudio","organismQuanityType","eventDate","minimumElevationInMeters","maximumElevationInMeters"
"1",1,"Animalia","Amphibia","Calyptocephalellidae","Calyptocephalella gayi","indigenous","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Zamorano",2012,"11",3,"Cerro Illi","Riñinahue","Lago Ranco","Lago Ranco","Ranco","Región de Los Ríos","40° 17' 26""S","72° 13' 33""","500","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-03,"500","500"
"2",2,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",16,"Fundo San Patricio","Cordillera de Mahuidanche","Pitrufquén","Pitrufquén","Cautín","Región de La Araucanía","39°13'51""S","72°52'05""O","157","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-16,"157","157"
"3",3,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",29,"Arroyo sin nombre en Salto del Agua","Salto del Agua","Lanco","Lanco","Valdivia","Región de Los Ríos","39°27'54""S","72°34'30""O","211","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-29,"211","211"
"4",4,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Zamorano",2012,"11",3,"Cerro Illi","Riñinahue","Lago Ranco","Lago Ranco","Ranco","Región de Los Ríos","40° 17' 26""S","72° 13' 33""","500","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-03,"500","500"
"5",5,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"El Tigre","Palena","Palena","Palena","Palena","Región de Los Lagos","43°38'01"" S","72°52'04"" O","284","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"284","284"
"6",6,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"El Azul","Palena","Palena","Palena","Palena","Región de Los Lagos","43°39'47""S","71°49'41""O","262","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"262","262"
"7",7,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","2","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"Laguna Negra","Palena","Palena","Palena","Palena","Región de Los Lagos","43°38'03""S","71°50'24""O","278","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"278","278"
"8",8,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",17,"Lago Verde","Lago Verde 10km antes de la ciudad","Lago Verde","Lago Verde","Aysén","Región de Aysén","44°10'18""S","72°05'29""O","219","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-17,"219","219"
"9",9,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",17,"Laguna en Lago Verde","a 1km al Este de la ciudad","Lago Verde","Lago Verde","Aysén","Región de Aysén","44°14'39""S","71°50'06""O","385","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-17,"385","385"
"10",10,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","6","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",17,"Estancia Cacique Blanco","Lago Verde","Lago Verde","Lago Verde","Aysén","Región de Aysén","44°16'47""S","71°55'46""O","303","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-17,"303","303"
"11",11,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",20,"Arroyo Loreto (Pte. Mañío)","Puyuhuapi","Puyuhuapi","Cisnes","Aysén","Región de Aysén","44°06'02""S","72°27'02""O","87","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-20,"87","87"
