"","decimalLongitude","decimalLatitude","verbatimSRS","geodeticDatum","continent","country","countryCode","stateProvince","county","municipality","verbatimCoordinates"
"1",-69.9483181252926,-18.5779278742557,"unknown","unknown","","","","","","","-18.5779278742557 -69.9483181252926"
"2",-69.9568048093905,-18.5805599790403,"unknown","unknown","","","","","","","-18.5805599790403 -69.9568048093905"
"3",-70.0947594344281,-18.5591423184334,"unknown","unknown","","","","","","","-18.5591423184334 -70.0947594344281"
"4",-70.103540835605,-18.5661940700123,"unknown","unknown","","","","","","","-18.5661940700123 -70.103540835605"
"5",-70.0616224468121,-18.5756160517422,"unknown","unknown","","","","","","","-18.5756160517422 -70.0616224468121"
"6",-70.102306265943,-18.5613395078929,"unknown","unknown","","","","","","","-18.5613395078929 -70.102306265943"
"7",-70.1202036133592,-18.5524233036766,"unknown","unknown","","","","","","","-18.5524233036766 -70.1202036133592"
"8",-70.047014430082,-18.5763031931299,"unknown","unknown","","","","","","","-18.5763031931299 -70.047014430082"
"9",-70.0808122073013,-18.5666961569994,"unknown","unknown","","","","","","","-18.5666961569994 -70.0808122073013"
"10",-70.0596332880943,-18.5788172487892,"unknown","unknown","","","","","","","-18.5788172487892 -70.0596332880943"
"11",-70.0433961824612,-18.5812483529997,"unknown","unknown","","","","","","","-18.5812483529997 -70.0433961824612"
"12",-70.0304380865715,-18.5758974690047,"unknown","unknown","","","","","","","-18.5758974690047 -70.0304380865715"
"13",-70.0243303523007,-18.5813980890217,"unknown","unknown","","","","","","","-18.5813980890217 -70.0243303523007"
"14",-70.1888172187482,-18.5179629230696,"unknown","unknown","","","","","","","-18.5179629230696 -70.1888172187482"
"15",-70.193707156877,-18.5127993388375,"unknown","unknown","","","","","","","-18.5127993388375 -70.193707156877"
"16",-70.279898460737,-18.4941991178848,"unknown","unknown","","","","","","","-18.4941991178848 -70.279898460737"
"17",-69.7707987902295,-18.8351438038879,"unknown","unknown","","","","","","","-18.8351438038879 -69.7707987902295"
"18",-70.156010891726,-18.8058897869754,"unknown","unknown","","","","","","","-18.8058897869754 -70.156010891726"
"19",-70.1602536473926,-18.8060803288834,"unknown","unknown","","","","","","","-18.8060803288834 -70.1602536473926"
