"","catalogNumber","verbatimLatitude","verbatimLongitude","verbatimCoordinates","verbatimSRS","decimalLongitude","decimalLatitude"
"1","GC01",3955218.07,513418.03,"19F 513418,03  3955218,07","WGS84",-68.7925531631116,-54.5503990626449
"2","GC02",3955146.47,513371.14,"19F 513371,14  3955146,47","WGS84",-68.7932748379974,-54.5510437749294
"3","GC03",3955035.32,513350.5,"19F 513350,5  3955035,32","WGS84",-68.7935888982036,-54.5520432282842
"4","GC04",3955011.36,513383.59,"19F 513383,59  3955011,36","WGS84",-68.7930762099621,-54.5522576836975
"5","GC05",3954159.55,512594.99,"19F 512594,99  3954159,55","WGS84",-68.8052322078659,-54.5599331636899
"6","GC06",3953843.75,512592.26,"19F 512592,26  3953843,75","WGS84",-68.8052609009084,-54.5627713336284
"7","GC07",3953518.88,512423.79,"19F 512423,79  3953518,88","WGS84",-68.807852542528,-54.5656951116445
"8","GC08",3953142.09,512320.44,"19F 512320,44  3953142,09","WGS84",-68.8094351606756,-54.5690838570084
"9","GC09",3953055.48,512296.46,"19F 512296,46  3953055,48","WGS84",-68.8098024425171,-54.5698628057382
"10","GC10",3952829.27,512318.64,"19F 512318,64  3952829,27","WGS84",-68.8094498899483,-54.5718952179311
"11","GC11",3952386.52,512418.97,"19F 512418,97  3952386,52","WGS84",-68.8078792384039,-54.5758717614459
"12","GC12",3952216.7,512351.22,"19F 512351,22  3952216,7","WGS84",-68.8089201810643,-54.577399593367
"13","GC13",3949218.4,508658.75,"19F 508658,75  3949218,4","WGS84",-68.8659559618931,-54.604422038684
"14","GC14",3950362.58,512942.54,"19F 512942,54  3950362,58","WGS84",-68.7996904849805,-54.5940477521982
"15","GC15",3950237.78,512913.37,"19F 512913,37  3950237,78","WGS84",-68.8001364494594,-54.5951700723368
"16","GC16",3950239.74,513020.36,"19F 513020,36  3950239,74","WGS84",-68.7984806359848,-54.5951497127386
"17","GC17",3952119.15,512336.9,"19F 512336,9  3952119,15","WGS84",-68.8091376208629,-54.5782766248431
"18","GC18",3951968.74,512725.95,"19F 512725,95  3951968,74","WGS84",-68.8031122076812,-54.5796187179
"19","GC19",3951924.07,512695.14,"19F 512695,14  3951924,07","WGS84",-68.8035869465935,-54.580020941414
"20","GC20",3949831.14,509962.54,"19F 509962,54  3949831,14","WGS84",-68.8457931870853,-54.5988913267805
"21","GC21",3949392.06,509717.42,"19F 509717,42  3949392,06","WGS84",-68.8495727576978,-54.6028421055942
"22","GC22",3949372.32,509489.57,"19F 509489,57  3949372,32","WGS84",-68.8530992610839,-54.6030238396417
"23","GC23",3949307.01,509366.64,"19F 509366,64  3949307,01","WGS84",-68.8550001534458,-54.6036130735602
"24","GC24",3949265.04,509256.02,"19F 509256,02  3949265,04","WGS84",-68.8567112708509,-54.6039922960323
"25","GC25",3949219.47,509171.46,"19F 509171,46  3949219,47","WGS84",-68.8580188807509,-54.604403375036
"26","GC26",3950612.68,512501.65,"19F 512501,65  3950612,68","WGS84",-68.8065246747434,-54.5918112075975
"27","GC27",3956106.98,514098.47,"19F 514098,47  3956106,98","WGS84",-68.7820760143633,-54.5423919056907
"28","GC28",3956028.75,514097.06,"19F 514097,06  3956028,75","WGS84",-68.7820940629468,-54.5430950009413
"29","GC29",3955918.6,513887.91,"19F 513887,91  3955918,6","WGS84",-68.785321786587,-54.5440907030014
"30","GC30",3949885.93,509133.5,"19F 509133,5  3949885,93","WGS84",-68.8586272793327,-54.5984145946307
"31","GC31",3949731.6,509006.9,"19F 509006,9  3949731,6","WGS84",-68.8605821107437,-54.5998038295756
"32","GC32",3949548.64,508036.19,"19F 508036,19  3949548,64","WGS84",-68.8756026861549,-54.6014644610058
"33","GC33",3949704.51,507611.08,"19F 507611,08  3949704,51","WGS84",-68.8821872633867,-54.600070240305
"34","GC34",3949771.04,507576.24,"19F 507576,24  3949771,04","WGS84",-68.8827282724247,-54.5994728588472
"35","GC35",3950094.62,507079.09,"19F 507079,09  3950094,62","WGS84",-68.8904313898878,-54.5965720536081
"36","GC36",3950078.42,507300.22,"19F 507300,22  3950078,42","WGS84",-68.8870083922364,-54.5967144970489
"37","GC37",3950010.95,507351.53,"19F 507351,53  3950010,95","WGS84",-68.8862125357561,-54.5973201064029
"38","GC38",3949928.46,506775.96,"19F 506775,96  3949928,46","WGS84",-68.8951193237129,-54.5980694900452
"39","GC39",3949955.28,506699.17,"19F 506699,17  3949955,28","WGS84",-68.896308516365,-54.5978294824055
"40","GC40",3950131.71,506975.17,"19F 506975,17  3950131,71","WGS84",-68.8920407194512,-54.5962401705785
"41","GC41",3950556.69,512198.1,"19F 512198,1  3950556,69","WGS84",-68.8112200538511,-54.592321805595
"42","GC42",3950207.44,512491.9,"19F 512491,9  3950207,44","WGS84",-68.8066583156333,-54.5954533307864
"43","GC43",3949278.29,513633.46,"19F 513633,46  3949278,29","WGS84",-68.7889469242053,-54.6037740553212
"44","GC44",3949193.08,513672.27,"19F 513672,27  3949193,08","WGS84",-68.7883421574631,-54.6045387845384
"45","GC45",3949199.84,513805.36,"19F 513805,36  3949199,84","WGS84",-68.7862821502248,-54.604474413421
"46","GC46",3949128.95,514221.76,"19F 514221,76  3949128,95","WGS84",-68.7798325645873,-54.6050999475775
"47","GC47",3947331.32,516058.89,"19F 516058,89  3947331,32","WGS84",-68.7512937053172,-54.6212000347333
"48","GC48",3948703.88,516228.58,"19F 516228,58  3948703,88","WGS84",-68.7487417187887,-54.6088595376171
"49","GC49",3948605.25,516344.9,"19F 516344,9  3948605,25","WGS84",-68.7469353205592,-54.6097421666108
"50","GC50",3948105.09,516517.35,"19F 516517,35  3948105,09","WGS84",-68.7442371612129,-54.614231449754
"51","GC51",3949295.47,513775,"19F 513775  3949295,47","WGS84",-68.7867566347739,-54.6036158201787
"52","GC52",3949165.2,514212.14,"19F 514212,14  3949165,2","WGS84",-68.7799832475137,-54.6047744415837
"53","GC53",3948051.78,516581.66,"19F 516581,66  3948051,78","WGS84",-68.7432383484736,-54.614708434265
"54","GC54",3947885.02,516447.8,"19F 516447,8  3947885,02","WGS84",-68.7453017460638,-54.616211468088
"55","GC55",3947308.53,516160.43,"19F 516160,43  3947308,53","WGS84",-68.7497199005554,-54.6214016063357
"56","GC56",4001760.59,510247.86,"19F 510247,86  4001760,59","WGS84",-68.8431650600636,-54.1321782832732
"57","GC57",4003544.47,505870.12,"19F 505870,12  4003544,47","WGS84",-68.9101972625557,-54.1162139061774
"58","GC58",4008245.39,518123.85,"19F 518123,85  4008245,39","WGS84",-68.7230194750265,-54.0736777631713
"59","GC59",4008317.39,518046.88,"19F 518046,88  4008317,39","WGS84",-68.7242000548625,-54.0730333509133
"60","GC60",4004501.23,517767.8,"19F 517767,8  4004501,23","WGS84",-68.7282409754537,-54.1073414794376
"61","GC61",4048055.98,493288.12,"19F 493288,12  4048055,98","WGS84",-69.1017033600599,-53.7161328545822
"62","GC62",4048023.49,493204.14,"19F 493204,14  4048023,49","WGS84",-69.1029765980139,-53.7164237986026
"63","GC63",4047976.94,493267.86,"19F 493267,86  4047976,94","WGS84",-69.1020120729168,-53.7168430312505
"64","GC64",4051156.3,494766,"19F 494766  4051156,3","WGS84",-69.0792570836303,-53.688282984661
"65","GC65",4050986.02,493519.98,"19F 493519,98  4050986,02","WGS84",-69.0981287674176,-53.6897995548187
"66","GC66",4050997.87,493481.99,"19F 493481,99  4050997,87","WGS84",-69.0987038106394,-53.6896925699701
"67","GC67",4049053.23,496567.31,"19F 496567,31  4049053,23","WGS84",-69.0520036307443,-53.7072010960901
"68","GC68",4049014.03,496410.44,"19F 496410,44  4049014,03","WGS84",-69.0543805902353,-53.7075523845119
"69","GC69",4049115.92,507536.33,"19F 507536,33  4049115,92","WGS84",-68.8858297873487,-53.7065945048044
"70","GC70",4061907.57,483821.96,"19F 483821,96  4061907,57","WGS84",-69.24441941039,-53.5914222174348
"71","GC71",4059684.15,482144.55,"19F 482144,55  4059684,15","WGS84",-69.2698889517773,-53.6113527995283
"72","GC72",4050217.52,505812.92,"19F 505812,92  4050217,52","WGS84",-68.9119588911341,-53.6967149657816
"73","GC73",4047587.38,505876.3,"19F 505876,3  4047587,38","WGS84",-68.9109490505996,-53.7203548640665
"74","GC74",4047393.25,505771.93,"19F 505771,93  4047393,25","WGS84",-68.9125270774601,-53.7221009329209
"75","GC75",4045318.33,497682.74,"19F 497682,74  4045318,33","WGS84",-69.0351333686956,-53.7407777584399
"76","GC76",4052284.15,512727.74,"19F 512727,74  4052284,15","WGS84",-68.8073139623055,-53.6780166527461
"77","GC77",4052483.17,512444.88,"19F 512444,88  4052483,17","WGS84",-68.811604153478,-53.6762346026918
"78","GC78",4096166.99,512242.8,"19F 512242,8  4096166,99","WGS84",-68.8163666210241,-53.2835805619439
"79","GC79",4090819.35,502969.39,"19F 502969,39  4090819,35","WGS84",-68.9554110694335,-53.3317833370938
"80","GC80",4091701.36,502868.18,"19F 502868,18  4091701,36","WGS84",-68.9569388414924,-53.323855569201
"81","GC81",4015408.87,477504.9,"19F 477504,9  4015408,87","WGS84",-69.3432527489341,-54.0091222577784
"82","GC82",4048756.44,493018,"19F 493018  4048756,44","WGS84",-69.1057806149165,-53.7098333418317
"83","GC83",4048616.57,493105.3,"19F 493105,3  4048616,57","WGS84",-69.1044610950347,-53.7110917011602
"84","GC84",4048661.36,493751.7,"19F 493751,7  4048661,36","WGS84",-69.0946666476625,-53.7106972514322
"85","GC85",4048576,494176.06,"19F 494176,06  4048576","WGS84",-69.0882388747936,-53.7114694035886
"86","GC86",4047312.06,496369.22,"19F 496369,22  4047312,06","WGS84",-69.055025019215,-53.7228499885023
"87","GC87",4047313,496390.3,"19F 496390,3  4047313","WGS84",-69.054705537827,-53.7228416857389
"88","GC88",4047324.03,496270.05,"19F 496270,05  4047324,03","WGS84",-69.0565278104636,-53.7227416986457
"89","GC89",4047331.8,496326.68,"19F 496326,68  4047331,8","WGS84",-69.055669484678,-53.7226722610856
"90","GC90",4047293.31,496506.52,"19F 496506,52  4047293,31","WGS84",-69.0529444296586,-53.7230194570992
"91","GC91",4047289.04,496577.27,"19F 496577,27  4047289,04","WGS84",-69.0518722461365,-53.7230583062022
"92","GC92",4047277.66,496652.43,"19F 496652,43  4047277,66","WGS84",-69.0507333029712,-53.7231610810596
"93","GC93",4047256.66,496682.14,"19F 496682,14  4047256,66","WGS84",-69.0502832654756,-53.7233500257864
"94","GC94",4047241.87,496738.78,"19F 496738,78  4047241,87","WGS84",-69.0494250237778,-53.7234833203122
"95","GC95",4047244.68,496784.78,"19F 496784,78  4047244,68","WGS84",-69.0487278474439,-53.7234583486083
"96","GC96",4047220.61,496838.5,"19F 496838,5  4047220,61","WGS84",-69.0479139472338,-53.7236750260158
"97","GC97",4047226.21,496890.19,"19F 496890,19  4047226,21","WGS84",-69.0471305061659,-53.7236250020259
"98","GC98",4047217.88,496905.04,"19F 496905,04  4047217,88","WGS84",-69.04690553144,-53.7236999631237
"99","GC99",4047206.47,496946.83,"19F 496946,83  4047206,47","WGS84",-69.0462722977298,-53.7238027662056
"100","GC100",4047193.83,496990.1,"19F 496990,1  4047193,83","WGS84",-69.0456166427167,-53.7239166301272
"101","GC101",4047199.72,497022.72,"19F 497022,72  4047199,72","WGS84",-69.0451222126832,-53.7238638760288
"102","GC102",4047196.03,497060.11,"19F 497060,11  4047196,03","WGS84",-69.0445555832143,-53.7238972549984
"103","GC103",4047198.85,497119.68,"19F 497119,68  4047198,85","WGS84",-69.0436527424926,-53.7238722401771
"104","GC104",4047219.61,497203.79,"19F 497203,79  4047219,61","WGS84",-69.0423778246329,-53.7236860999931
"105","GC105",4047227.97,497238.61,"19F 497238,61  4047227,97","WGS84",-69.0418500373662,-53.7236111429984
"106","GC106",4047231.4,497285.17,"19F 497285,17  4047231,4","WGS84",-69.0411443709145,-53.7235805573735
"107","GC107",4047198.97,497324.96,"19F 497324,96  4047198,97","WGS84",-69.0405416175469,-53.72387225449
"108","GC108",4046814.31,494570.99,"19F 494570,99  4046814,31","WGS84",-69.0822861745932,-53.7273083134021
"109","GC109",4048830.83,493011.19,"19F 493011,19  4048830,83","WGS84",-69.1058821106917,-53.7091646081048
"110","GC110",4048762.09,493102.42,"19F 493102,42  4048762,09","WGS84",-69.1045014883488,-53.7097836800575
"111","GC111",4048699.07,493136.07,"19F 493136,07  4048699,07","WGS84",-69.1039930732134,-53.7103505687719
"112","GC112",4048660.69,493160.61,"19F 493160,61  4048660,69","WGS84",-69.1036221243334,-53.7106958633339
"113","GC113",4048644.76,493197.64,"19F 493197,64  4048644,76","WGS84",-69.1030614417125,-53.7108395314536
"114","GC114",4048700.01,493082.33,"19F 493082,33  4048700,01","WGS84",-69.1048072472181,-53.7103414103024
"115","GC115",4048294.65,493166.38,"19F 493166,38  4048294,65","WGS84",-69.1035427828694,-53.7139860294652
"116","GC116",4048216.77,493130.97,"19F 493130,97  4048216,77","WGS84",-69.1040810409445,-53.7146855760001
"117","GC117",4048182.98,493069.69,"19F 493069,69  4048182,98","WGS84",-69.105010323565,-53.7149884815998
"118","GC118",4048300.06,493538.28,"19F 493538,28  4048300,06","WGS84",-69.0979076628466,-53.7139421394906
"119","GC119",4047302.3,494334.03,"19F 494334,03  4047302,3","WGS84",-69.0858687784523,-53.7229195825267
"120","GC120",4047205.28,494359.9,"19F 494359,9  4047205,28","WGS84",-69.0854784829122,-53.7237919100371
"121","GC121",4047102.47,494397.7,"19F 494397,7  4047102,47","WGS84",-69.0849074675456,-53.7247164067852
"122","GC122",4047035.1,494429.72,"19F 494429,72  4047035,1","WGS84",-69.0844233915632,-53.7253222928914
"123","GC123",4046940.5,494482.87,"19F 494482,87  4046940,5","WGS84",-69.0836195358848,-53.7261731528433
"124","GC124",4046706.52,494644.47,"19F 494644,47  4046706,52","WGS84",-69.0811743235585,-53.7282779237919
"125","GC125",4047306.94,495560.42,"19F 495560,42  4047306,94","WGS84",-69.0672825703624,-53.7228897534995
"126","GC126",4047118.08,495559.58,"19F 495559,58  4047118,08","WGS84",-69.0672980109375,-53.7245872818671
"127","GC127",4047238.73,497848.75,"19F 497848,75  4047238,73","WGS84",-69.0326030338006,-53.7235173010869
"128","GC128",4047216.6,497974.81,"19F 497974,81  4047216,6","WGS84",-69.030692690426,-53.7237167174358
"129","GC129",4047233.25,498085.19,"19F 498085,19  4047233,25","WGS84",-69.0290197277206,-53.7235674784815
"130","GC130",4048802.25,492462.02,"19F 492462,02  4048802,25","WGS84",-69.1142028431122,-53.7094138534348
"131","GC131",4049098.58,492484.04,"19F 492484,04  4049098,58","WGS84",-69.1138620425994,-53.7067506563096
"132","GC132",4049055.13,492528,"19F 492528  4049055,13","WGS84",-69.1131971259942,-53.7071418307831
"133","GC133",4049040.52,492604.2,"19F 492604,2  4049040,52","WGS84",-69.11204308476,-53.7072742355358
"134","GC134",4049021.91,492626.69,"19F 492626,69  4049021,91","WGS84",-69.1117028149852,-53.707441826699
"135","GC135",4049029.03,492657.67,"19F 492657,67  4049029,03","WGS84",-69.1112333120735,-53.7073782663528
"136","GC136",4048994.11,492701.01,"19F 492701,01  4048994,11","WGS84",-69.1105775529768,-53.7076927469961
"137","GC137",4048983.94,492728.63,"19F 492728,63  4048983,94","WGS84",-69.110159357709,-53.7077845438727
"138","GC138",4048945.74,492783.28,"19F 492783,28  4048945,74","WGS84",-69.109332316229,-53.7081286568583
"139","GC139",4048916.19,492837.11,"19F 492837,11  4048916,19","WGS84",-69.1085174841585,-53.7083950037247
"140","GC140",4048886.62,492868.95,"19F 492868,95  4048886,62","WGS84",-69.1080357912845,-53.7086612248762
"141","GC141",4048860.58,492911.44,"19F 492911,44  4048860,58","WGS84",-69.1073926627537,-53.7088958599697
"142","GC142",4048904.9,492466.73,"19F 492466,73  4048904,9","WGS84",-69.1141289883457,-53.7084912685231
"143","GC143",4048873.38,492623.23,"19F 492623,23  4048873,38","WGS84",-69.1117587702058,-53.7087768159736
"144","GC144",4048812.1,492698.51,"19F 492698,51  4048812,1","WGS84",-69.1106197181078,-53.7093286797703
