"","ID","kingdom","class","family","acceptedNameUsage","infraspecificEpithet","vernacularName","establishmentMeans","CATEGORÍA.DE.CONSERVACIÓN","basisOfRecord","institution","recordedBy","year","month","day","locality","locationRemarks","county","stateProvince","municipality","PRECISIÓN.DATO","verbatimLatitude","verbatimLongitude","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","HUSO","occurrenceRemarks","datasetName","dynamicProperties"
"1",1,"Plantae","Magnoliopsida","Solanaceae","Fabiana ramulosa (Wedd.) Hunz. & Barboza","","","Autóctona","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"2",2,"Plantae","Magnoliopsida","Asteraceae","Baccharis boliviensis (Wedd.) Cabrera var. boliviensis","","","Autóctona","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"3",3,"Plantae","Magnoliopsida","Asteraceae","Baccharis tola Phil. ssp. tola","","","Autóctona","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"4",4,"Plantae","Magnoliopsida","Plantaginaceae","Plantago sp.","","","N/A","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"5",5,"Plantae","Magnoliopsida","Brassicaceae","Descurainia sp.","","","N/A","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"6",6,"Plantae","Magnoliopsida","Asteraceae","Tagetes multiflora Kunth","","","Autóctona","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"7",7,"Plantae","Magnoliopsida","Asteraceae","Gnaphalium lacteum Meyen & Walp.","","","Autóctona","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"8",8,"Plantae","Magnoliopsida","Asteraceae","Conyza deserticola Phil.","","","Autóctona","Sin clasificación","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:,iucnStatusRemarks:Sin clasificación"
"9",9,"Plantae","Magnoliopsida","Cactaceae","Maihueniopsis boliviana (Salm-Dyck) R. Kiesling ssp. echinacea (F. Ritter) Faúndez & R. Kiesling","","","Autóctona","LC","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:RCE (D.S 19/2012 MMA),iucnStatusRemarks:PREOCUPACION MENOR (LC) (OCTAVO PROCESO), RARA (Boletin 47 MNHN)"
"10",10,"Plantae","Magnoliopsida","Cactaceae","Oreocereus variicolor Backeb.","","","Autóctona","LC","Observación","","Luis Faundez-Rodrigo Flores- Aira Faundez","2012",12,23,"Cerro Churicoyo"," ","Arica","de Arica y Parinacota","Camarones","GPS","-19.106479","-69.281233",4009,"","WGS 1984","19 Sur","","Estudio de la biodiversidad de Arica y Parinacota","iucnStatus:RCE (D.S 13/2013 MMA),iucnStatusRemarks:PREOCUPACIÓN MENOR (LC) (NOVENO PROCESO), FUERA DE PELIGRO (Boletin 47 MNHN)"
