"","ID","kingdom","class","family","acceptedNameUsage","infraspecificEpithet","vernacularName","establishmentMeans","CATEGORÍA.DE.CONSERVACIÓN","basisOfRecord","institution","recordedBy","year","month","day","locality","locationRemarks","county","stateProvince","municipality","PRECISIÓN.DATO","verbatimLongitude","verbatimLatitude","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","HUSO","occurrenceRemarks","datasetName","dynamicProperties"
"1",29,"Animalia","Actinopterygii","Cyprinodontidae","Orestias piacotensis","","Orestias o Karachi","Endémica","CR","Publicación","","","2006",NA,NA,"Piacota","Lago","Parinacota","Arica y Parinacota","Putre","Publicado","69°15'56.9"" O","18°11'49.8"" S",4250,"","WGS84","19k","","","iucnStatus:RCE (DS 41/2011 MMA),iucnStatusRemarks:"
"2",37,"Animalia","Actinopterygii","Poeciliidae","Poecilia reticulata","","Guppy","","Sin clasificación","Observación","Universidad de Chile","Cristián Estades","2007",9,11,"Chaca","","Arica","Arica y Parinacota","Arica","GPS","70°10'16"" O","18°48'06"" S",500,"","WGS84","19k","","",""
"3",73,"Animalia","Adenophorea","Dorylaimidae","Dorylaimidae sp.","","","","","Publicación","","","2010",NA,NA,"Surire","","Parinacota","Arica y Parinacota","Putre","Publicado","69° 07' O","18° 47' S",4200,"","WGS84","19k","","",""
"4",100,"Animalia","Adenophorea","Monhysteridae","Monhystere spp.","","","","","Publicación","","","2010",NA,NA,"Surire","","Parinacota","Arica y Parinacota","Putre","Publicado","69° 07' O","18° 47' S",4200,"","WGS84","19k","","",""
"5",102,"Animalia","Adenophorea","Plectidae","Plectidae sp.","","","","","Publicación","","","2010",NA,NA,"Surire","","Parinacota","Arica y Parinacota","Putre","Publicado","69° 07' O","18° 51' S",4200,"","WGS84","19k","","",""
"6",105,"Animalia","Adenophorea","Tobrilidae","Tobrilidae sp.","","","","","Publicación","","","2010",NA,NA,"Surire","","Parinacota","Arica y Parinacota","Putre","Publicado","69° 07' O","18° 51' S",4200,"","WGS84","19k","","",""
"7",107,"Animalia","Adenophorea","Xyalidae","Xyalidae sp.","","","","","Publicación","","","2010",NA,NA,"Surire","","Parinacota","Arica y Parinacota","Putre","Publicado","69° 07' O","18° 47' S",4200,"","WGS84","19k","","",""
"8",110,"Animalia","Amphibia","Bufonidae","Rhinella spinulosa","","Sapo espinoso","Nativa","LC","Publicación","","","2010",NA,NA,"Valle de Azapa","Valle","Arica","Arica y Parinacota","Arica","Publicado","70°10'30"" O","18°31'14"" S",280,"","WGS84","19 K","","","iucnStatus:RCE (DS 41/2011 MMA),iucnStatusRemarks:"
"9",111,"Animalia","Amphibia","Bufonidae","Rhinella spinulosa","","Sapo espinoso","Nativa","LC","Publicación","","","2010",NA,NA,"Valle de Lluta","","Arica","Arica y Parinacota","Arica","Publicado","69°58'23"" O","18°23'46"" S",1200,"","WGS84","19 K","","","iucnStatus:RCE (DS 41/2011 MMA),iucnStatusRemarks:"
"10",123,"Animalia","Amphibia","Bufonidae","Rhinella spinulosa","","Sapo espinoso","Nativa","LC","Publicación","","","2010",NA,NA,"San José de Azapa","","Parinacota","Arica y Parinacota","Putre","Publicado","69°35'30"" O","18°19'50"" S",3400,"","WGS84","19 K","","","iucnStatus:RCE (DS 41/2011 MMA),iucnStatusRemarks:"
